eval_mode,model_key,model_id,dataset_name,num_train_samples,num_test_samples,training_time_sec,final_train_loss,total_params_M,trainable_params_M,trainable_percentage,rouge1,rouge2,rougeL,bleu,meteor,bertscore_precision,bertscore_recall,bertscore_f1,diversity_score_per_sample_avg,diversity_score_global,compliance_avg,ripple_recall_avg,ripple_precision_avg,ripple_f1_avg,avg_inference_time_sec,total_inference_time_sec,note
few_shot,gemma-3-1b,google/gemma-3-1b-it,ArchAI-ADR,76,19,0.0,,664.05,13.05,1.96,0.2017024438397577,0.0602185086550651,0.138693859342688,0.0452921857901347,0.1982231082966949,0.7912827165503251,0.8399728034671984,0.8141004913731625,0.4629797114614854,0.7459941651505234,46.47368421052632,0.2306509462759463,0.1337889767237593,0.0998452880389379,43.28239597772297,822.3655235767365,
fine_tune,gemma-3-1b,google/gemma-3-1b-it,ArchAI-ADR,76,19,0.0,,664.05,0.0,0.0,0.2020603218605524,0.0419212617407427,0.1156653468325588,0.0223939805471133,0.2033478989166105,0.8121177083567569,0.8456230226315951,0.8278799464828089,0.3821053510172325,0.7712009636186913,47.89473684210526,0.3073336385836386,0.1014293262594893,0.1170276520301875,40.149869981564976,762.8475296497345,Re-evaluated from saved model
zero_shot,gemma-3-1b,google/gemma-3-1b-it,ArchAI-ADR,76,19,0.0,,664.05,13.05,1.96,0.170738103036925,0.0263161314310232,0.1065770048884529,0.0059010546906453,0.1607791198359296,0.7796243680150885,0.8331835615007501,0.8046800619677493,0.3974755035157789,0.7517212827119248,45.421052631578945,0.2846067994505494,0.0932096549284049,0.1100352843760551,42.37913079010813,805.2034850120544,
few_shot,llama-3.2-1b,meta-llama/Llama-3.2-1B-Instruct,ArchAI-ADR,76,19,0.0,,760.55,11.27,1.48,0.1859781640687066,0.0548317641555489,0.1187189648140868,0.0423066574671797,0.1927391032918533,0.800432236571061,0.8389524974321064,0.8183774226590207,0.4264161871713505,0.7539699598429095,44.10526315789474,0.319973862942613,0.1159602037455298,0.1330593747208692,49.32268920697664,937.1310949325562,
fine_tune,llama-3.2-1b,meta-llama/Llama-3.2-1B-Instruct,ArchAI-ADR,76,19,0.0,,760.55,0.0,0.0,0.173907650951461,0.0282327028094388,0.1010861126952561,0.011901626553267,0.1641036674473808,0.8038625717163086,0.8378763606673792,0.8199245145446376,0.4369639485028752,0.7812422760359635,53.8421052631579,0.2252938034188034,0.0659382284382284,0.0835332556935817,21.265789998205083,404.0500099658966,Re-evaluated from saved model
zero_shot,llama-3.2-1b,meta-llama/Llama-3.2-1B-Instruct,ArchAI-ADR,76,19,0.0,,760.55,11.27,1.48,0.1813948786853917,0.0323783252044626,0.1078286787234274,0.0147340025237469,0.1727692013271078,0.8022946150679338,0.8392516876521864,0.8196472745192679,0.4170677499812946,0.7631629795599892,53.94736842105263,0.3455815018315018,0.1009279463226831,0.1214962944425419,26.90453411403455,511.1861481666565,
few_shot,llama-3.2-3b,meta-llama/Llama-3.2-3B-Instruct,ArchAI-ADR,76,19,0.0,,1827.78,24.31,1.33,0.1947579038584474,0.0417114435122401,0.1095084204253638,0.0229029090744834,0.1875114137168769,0.8114723249485618,0.8498258559327376,0.8295895018075642,0.3922186614128581,0.7650224432870886,57.10526315789474,0.4202342796092796,0.117612654910449,0.1423719560434629,98.22775171932422,1866.32728266716,
fine_tune,llama-3.2-3b,meta-llama/Llama-3.2-3B-Instruct,ArchAI-ADR,76,19,0.0,,1827.78,0.0,0.0,0.1969213521990667,0.0395972016843949,0.1133330739360537,0.0198188201360521,0.192578419431192,0.8077444277311626,0.8448432652573836,0.8251095163194757,0.4042970925046686,0.7803016653527182,58.26315789473684,0.4677379044566544,0.1903005848318348,0.2109025093264223,39.25775830369247,745.8974077701569,Re-evaluated from saved model
zero_shot,llama-3.2-3b,meta-llama/Llama-3.2-3B-Instruct,ArchAI-ADR,76,19,0.0,,1827.78,24.31,1.33,0.1924769478836778,0.0322916273603984,0.1116671880853186,0.0156238873290656,0.1860608869525688,0.8089883233371534,0.844848024217706,0.8257813516416048,0.341632020055202,0.7415919021258649,65.42105263157895,0.2801556082806082,0.116981456043956,0.1322226273599271,48.12659134362873,914.405235528946,
few_shot,mistral-7b-v0.3,mistralai/Mistral-7B-Instruct-v0.3,ArchAI-ADR,76,19,0.0,,3800.31,41.94,1.1,0.223991882929602,0.0756238195529726,0.1470747466224622,0.0547068486601448,0.2162614435833791,0.8230786292176497,0.8499823871411776,0.8353852661032426,0.3033462454352462,0.7415890013933284,62.0,0.351037851037851,0.141749222999223,0.1545802518181666,228.73666075656288,4345.996554374695,
